name,image,code,category,sub_type,company,product_link
8/16 Channel Penta-brid 4MP 2U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/upfiles/XVR8808_16S_thumb.png,XVR8808/16S,ultra_dvr,2U,Dahua,https://www.dahuasecurity.com/products/productDetail/10541
8/16 Channel Quadri-brid 1080P-Ultra 2U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/upfiles/HCVR8808_16S-URH-S3_thumb.png,HCVR8808/16S-URH-S3,ultra_dvr,2U,Dahua,https://www.dahuasecurity.com/products/productDetail/10601 
8/16 Channel 1080P 2U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/upfiles/HCVR8808_16S-S3_thumb.png,HCVR8808/16S-S3,ultra_dvr,2U,Dahua,https://www.dahuasecurity.com/products/productDetail/5201 
8/16 Channel 1080P 1.5U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/upfiles/HCVR8408_16L-S3_thumb.png,HCVR8408/16L-S3,ultra_dvr,1.5U,Dahua,https://www.dahuasecurity.com/products/productDetail/5211 
8/16 Channel 1080P 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/upfiles/HCVR8208_16A-S3_thumb.png,HCVR8208/16A-S3,ultra_dvr,default,Dahua,https://www.dahuasecurity.com/products/productDetail/5221
16 Channel Penta-brid 4K 2U Digital Video RecorderSeriesPro,https://www.dahuasecurity.com/asset/upload/product/20180607/XVR7816S-4KL-X_thumb.PNG,XVR7816S-4KL-X,pro_dvr,2U,Dahua,https://www.dahuasecurity.com/products/productDetail/23427 
8/16 Channel Penta-brid 1080P 2U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/upfiles/XVR7808_16S_thumb.png,XVR7808/16S,pro_dvr,2U,Dahua,https://www.dahuasecurity.com/products/productDetail/10591 
16 Channel Penta-brid 4K 1.5U Digital Video RecorderSeriesPro,https://www.dahuasecurity.com/asset/upload/product/20180607/XVR7416L-4KL-X_thumb.PNG,XVR7416L-4KL-X1,pro_dvr,1.5U,Dahua,https://www.dahuasecurity.com/products/productDetail/23417
8/16 Channel Penta-brid 1080P 1.5U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/upfiles/XVR7408_16L_thumb.png,XVR7408/16L,pro_dvr,1.5U,Dahua,https://www.dahuasecurity.com/products/productDetail/10581 
16 Channel Penta-brid 4K 1.5U Digital Video RecorderSeriesPro,https://www.dahuasecurity.com/asset/upload/product/20180607/XVR7416L-4KL-X_thumb.PNG,XVR7416L-4KL-X2,pro_dvr,default,Dahua,https://www.dahuasecurity.com/products/productDetail/23417 
