name,code,product_link
1.3 MP HDCVI IR Dome Camera - 20 Mtr.,CP-VCG-D13L2,http://www.cpplusworld.com/cp-vcg-d13l2
1.3MP HDCVI IR Dome Camera - 30 Mtr.,CP-VCG-D13L3,http://www.cpplusworld.com/cp-vcg-d13l3
1.3 MP HDCVI IR Vandal Dome Camera - 40 Mtr.,CP-VCG-V13FL4,http://www.cpplusworld.com/cp-vcg-v13fl4
1 .3MP HDCVI IR Bullet Camera - 20 Mtr.,CP-VCG-T13L2,http://www.cpplusworld.com/cp-vcg-t13l2
1.3 MP HD Astra HD IR Dome Camera - 20 Mtr.,CP-GTC-D13L2,http://www.cpplusworld.com/cp-gtc-d13l2
1.3 MP HD Astra HD IR Bullet Camera - 20 Mtr.,CP-GTC-T13L2C,http://www.cpplusworld.com/cp-gtc-t13l2c
1.3 MP HD Astra HD IR Bullet Camera - 20 Mtr.,CP-GTC-T13L2,http://www.cpplusworld.com/cp-gtc-t13l2
1.3 MP HD Astra HD IR Bullet Camera - 30 Mtr.,CP-GTC-T13L3,http://www.cpplusworld.com/cp-gtc-t13l3
1.3 MP HD IR Dome Camera - 20 Mtr.,CP-VAC-D13L2,http://www.cpplusworld.com/cp-vac-d13l2
1.3 MP HD IR Dome Camera - 30 Mtr.,CP-VAC-D13L3,http://www.cpplusworld.com/cp-vac-d13l3
1.3 MP HD VF IR Vandal Dome Camera - 40 Mtr.,CP-VAC-V13FL4,http://www.cpplusworld.com/cp-vac-v13fl4
1.3 MP HD IR Bullet Camera - 20 Mtr.,CP-VAC-T13PL2,http://www.cpplusworld.com/cp-vac-t13pl2
