name,img,link
"CP-UNR-4K2082-P8V2 
 8 Ch. 4K 8PoE H.265 Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/c/p/cp-unr-4k2082-p8v2.jpg,http://www.cpplusworld.com/cp-unr-4k2082-p8v2
"CP-UNR-4K2082-V2 
 8 Ch. 4K H.265 Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/c/p/cp-unr-4k2082-v2.jpg,http://www.cpplusworld.com/cp-unr-4k2082-v2
"CP-UNR-4K2081-V2 
 8 Ch. 4K H.265 Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/c/p/cp-unr-4k2081-v2.jpg,http://www.cpplusworld.com/cp-unr-4k2081-v2
"CP-UNR-408T1 
8 Ch. Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium936p_mini1u.jpg,http://www.cpplusworld.com/cp-unr-408t1
"CP-UNR-208T2-V2  
8 Ch. Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1704p_cp-unr-208t2-v2.jpg,http://www.cpplusworld.com/cp-unr-208t2-v2
"CP-UNR-4K4082-V2 
8 Ch. H.265 4K Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1659p_cp-unr-4k4082-v2.jpg,http://www.cpplusworld.com/cp-unr-4k4082-v2
"CP-UNR-208T2-P8V2 
8 Ch. 8PoE Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1656p_cp-unr-208t2-p8v2.jpg,http://www.cpplusworld.com/cp-unr-208t2-p8v2
"CP-UNR-408T4 
8 Ch. Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1619p_cp-unr-408t4.jpg,http://www.cpplusworld.com/cp-unr-408t4
"CP-UNR-408T2-P8 
8 Ch. Network Video Recorder with 8 PoE Ports",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1602p_cp-unr-408t2-p8.jpg,http://www.cpplusworld.com/cp-unr-408t2-p8
"CP-UNR-208T1-V2  
8 Ch. Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1562p_cp-unr-208t1-v2.jpg,http://www.cpplusworld.com/cp-unr-208t1-v2
"CP-UNR-408T2N 
8 Ch. Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1224-cp-unr-408t2n.jpg,http://www.cpplusworld.com/cp-unr-408t2n
"CP-UNR-4K4084 
8 Ch. H.265 4K Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1116-cp-unr-4k4084.jpg,http://www.cpplusworld.com/cp-unr-4k4084
"CP-UNR-108F1 
8 Ch. Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1095-cp-unr-108f1.jpg,http://www.cpplusworld.com/cp-unr-108f1
"CP-UNR-408T1-P8 
8 Ch. Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1040p_mini1u.jpg,http://www.cpplusworld.com/cp-unr-408t1-p8
"CP-UNR-408T2 
8 Ch. Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium975p_1u.jpg,http://www.cpplusworld.com/cp-unr-408t2
