name,img,link
"CP-UNR-4K2041-P4V2 
 4 Ch. 4K 4PoE H.265 Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/c/p/cp-unr-4k2041-p4v2.jpg,http://www.cpplusworld.com/cp-unr-4k2041-p4v2
"CP-UNR-4K2042-V2 
 4 Ch. 4K H.265 Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/c/p/cp-unr-4k2042-v2.jpg,http://www.cpplusworld.com/cp-unr-4k2042-v2
"CP-UNR-4K2041-V2 
 4 Ch. 4K H.265 Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/c/p/cp-unr-4k2041-v2.jpg,http://www.cpplusworld.com/cp-unr-4k2041-v2
"CP-UNR-404T1 
4 Ch. Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium935p_mini1u.jpg,http://www.cpplusworld.com/cp-unr-404t1
"CP-UNR-204T2-V2 
4 Ch. Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1703p_cp-unr-204t2-v2.jpg,http://www.cpplusworld.com/cp-unr-204t2-v2
"CP-UNR-204T1-P4V2 
4 Ch. 4PoE Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1655p_cp-unr-204t1-p4v2.jpg,http://www.cpplusworld.com/cp-unr-204t1-p4v2
"CP-UNR-204T1-V2  
4 Ch. Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1561p_cp-unr-204t1-v2.jpg,http://www.cpplusworld.com/cp-unr-204t1-v2
"CP-UNR-404T1-W  
4 Ch. Wi-Fi Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1431p_cp-unr-404t1-w.jpg,http://www.cpplusworld.com/cp-unr-404t1-w
"CP-UNR-404T2N 
4 Ch. Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1223-cp-unr-404t2n.jpg,http://www.cpplusworld.com/cp-unr-404t2n
"CP-UNR-104F1 
4 Ch. Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1094-cp-unr-104f1.jpg,http://www.cpplusworld.com/cp-unr-104f1
"CP-UNR-404T2 
4 Ch. Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium974p_1u.jpg,http://www.cpplusworld.com/cp-unr-404t2
"CP-UNR-404T1-P4 
4 Ch. Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium938p_mini1u.jpg,http://www.cpplusworld.com/cp-unr-404t1-p4
